participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
1;2;0.874830045555698;0.0;0.874830045555698;bpF
1;3;0.874830045555698;0.0;0.874830045555698;weR
1;4;0.874830045555698;0.0;0.874830045555698;beF
1;5;0.874830045555698;0.0;0.874830045555698;beR
1;6;0.874830045555698;0.0;0.874830045555698;beR
1;7;0.78077332019934;0.238169094963617;0.599905245120766;bpF
1;8;0.78077332019934;0.238169094963617;0.599905245120766;weR
1;9;0.874830045555698;0.0;0.874830045555698;bpR
1;10;0.78077332019934;0.238169094963617;0.599905245120766;bpR
1;11;0.78077332019934;0.238169094963617;0.599905245120766;weR
1;12;0.78077332019934;0.238169094963617;0.599905245120766;weR
1;13;0.78077332019934;0.238169094963617;0.599905245120766;weR
1;14;0.78077332019934;0.523502736011101;0.695016458803261;beF
1;15;0.81802350445288;0.0;0.8729675310976;bpF
1;16;0.81802350445288;0.380835915487359;0.544879787357439;beF
1;17;0.81802350445288;0.380835915487359;0.544879787357439;weR
1;18;0.78077332019934;0.238169094963617;0.599905245120766;bpR
1;19;0.78077332019934;0.523502736011101;0.695016458803261;beF
1;20;0.78077332019934;0.238169094963617;0.599905245120766;beR
1;1;0.54609710544913;0.0;0.466009193567754;bpF
1;2;0.54609710544913;0.0;0.466009193567754;weR
1;3;0.54609710544913;0.726318293677165;0.596163743622459;beF
1;4;0.54609710544913;0.0;0.466009193567754;beR
1;5;0.54609710544913;0.726318293677165;0.596163743622459;beR
1;6;0.54609710544913;0.726318293677165;0.596163743622459;weR
1;7;0.54609710544913;0.0;0.466009193567754;beR
1;8;0.54609710544913;0.0;0.466009193567754;weR
1;9;0.54609710544913;0.0;0.466009193567754;weR
1;10;0.744919999308995;0.727312482187846;0.727312482187846;bpF
1;11;0.744919999308995;0.727312482187846;0.727312482187846;weR
1;12;0.744919999308995;0.436013672576713;0.436013672576713;beF
1;13;0.744919999308995;0.436013672576713;0.436013672576713;weR
1;14;0.869708145782846;0.436013672576713;0.725143321380802;bpF
1;1;0.748179392117208;0.494671112703179;0.432846158096033;bpF
1;2;0.748179392117208;0.702954735677656;0.592310224948066;beF
1;3;0.748179392117208;0.494671112703179;0.432846158096033;beR
1;4;0.547493987545974;0.820766714185883;0.683897536558666;bpF
1;5;0.547493987545974;0.820766714185883;0.683897536558666;weR
1;6;0.547493987545974;0.494671112703179;0.520849735817314;beF
1;7;0.56379094784031;0.702954735677656;0.702954735677656;bpF
1;8;0.56379094784031;0.702954735677656;0.702954735677656;weR
1;9;0.56379094784031;0.820766714185883;0.820766714185883;beF
1;10;0.748179392117208;0.702954735677656;0.592310224948066;bpR
1;11;0.56379094784031;0.702954735677656;0.702954735677656;bpR
1;12;0.56379094784031;0.702954735677656;0.702954735677656;weR
1;13;0.748179392117208;0.702954735677656;0.592310224948066;bpR
1;14;0.748179392117208;0.702954735677656;0.592310224948066;weR
1;1;0.867380017697142;0.635846643210984;0.364676955907642;bpF
1;2;0.867380017697142;0.206354870624065;0.149931069614182;beF
1;3;0.867380017697142;0.635846643210984;0.364676955907642;beR
1;4;0.699754151088915;0.410661725555982;0.319222820777006;bpF
1;5;0.699754151088915;0.206354870624065;0.17134994092156;beF
1;6;0.805451569328012;0.478764010533287;0.599502880356806;bpF
1;7;0.805451569328012;0.478764010533287;0.599502880356806;weR
1;8;0.805451569328012;0.48920304189483;0.566215944656661;beF
1;1;0.81802350445288;0.0;0.234126750504692;bpF
1;2;0.81802350445288;0.0572258100310709;0.145676280267881;beF
1;3;0.81802350445288;0.0;0.234126750504692;beR
1;4;0.709532329513554;0.0;0.765873249495308;bpF
1;5;0.709532329513554;0.0;0.765873249495308;weR
1;6;0.709532329513554;0.0;0.765873249495308;beF
1;7;0.709532329513554;0.0;0.765873249495308;beR
1;8;0.864586246009994;0.0;0.571240983192326;bpF
1;9;0.864586246009994;0.0572258100310709;0.399902592138574;beF
1;10;0.864586246009994;0.0;0.571240983192326;beR
1;1;0.204326605349898;0.33957685904682;0.271951732198359;bpF
1;2;0.204326605349898;0.41265011057725;0.308488357963574;beF
1;3;0.837579861302159;0.219279393262077;0.631479705288798;bpF
