type;latency;rank;duration;sac_amplitude;sac_angle;iEvent;CorScorePair;CorScoreEvent;CorScoreDetail;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;SumCorConfPair;SumCorConfEvent;SumCorConfDetail;PairNCat;eCorScorePair;eCorScoreEvent;eCorScoreDetail;eNrmzMeanConfPair;eNrmzMeanConfEvent;eNrmzMeanConfDetail;eSumCorConfPair;eSumCorConfEvent;eSumCorConfDetail;iBlock;iEventPerBlock;Refi;Refi2;NrmzMeanConfPair2bins;NrmzMeanConfEvent2bins;NrmzMeanConfDetail2bins;eNrmzMeanConfPair2bins;eNrmzMeanConfEvent2bins;eNrmzMeanConfDetail2bins;NrmzMeanConfPair_CorRefi;NrmzMeanConfEvent_CorRefi;NrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_CorRefi;eNrmzMeanConfEvent_CorRefi;eNrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_EventOnset2bins;eNrmzMeanConfEvent_EventOnset2bins;eNrmzMeanConfDetail_EventOnset2bins;eCorScorePair_EventOnset2bins;eCorScoreEvent_EventOnset2bins;eCorScoreDetail_EventOnset2bins;eSumCorConfPair_EventOnset2bins;eSumCorConfEvent_EventOnset2bins;eSumCorConfDetail_EventOnset2bins
EventOnset;43441.5;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];Cor1;Cor1;Cor1;Cor2;Cor2;Cor2;Cor2;Cor2;Cor1
saccade;43498;0;12;3.826.845;6.033.017;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
bad_ET;43554;0;30;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;43661;0;29;1.793.753;5.520.704;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;43690;1;26;1.793.753;5.520.704;1;1;0;0;0.098346652390719;0;0.666159473685613;138.225.306.303.817;0.227934207941277;130.509.363.548.972;p1P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;bpF;bp;Cor1;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1bpF;Cor1bpF;Cor2bpF;Cor1bpF;Cor1bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;43716;0;4;0.254296;6.528.493;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;43720;2;34;0.254296;6.528.493;1;1;0;0;0.098346652390719;0;0.666159473685613;138.225.306.303.817;0.227934207941277;130.509.363.548.972;p1P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor1;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor2weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;43754;0;16;204.825;-177.666.594;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;43770;3;50;204.825;-177.666.594;1;1;2;2;0.098346652390719;0.136176080296506;0.312837211426208;138.225.306.303.817;213.617.608.029.651;325.921.457.166.734;p1F;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beF;be;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;43820;0;9;18.879;3.895.425;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;43829;4;44;18.879;3.895.425;1;1;0;0;0.098346652390719;0;0.666159473685613;138.225.306.303.817;0.227934207941277;130.509.363.548.972;p1P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beR;be;Cor1;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1beR;Cor1beR;Cor2beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;43873;0;10;1.824.293;179.761.365;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;43883;5;46;1.824.293;179.761.365;1;1;2;2;0.098346652390719;0.136176080296506;0.312837211426208;138.225.306.303.817;213.617.608.029.651;325.921.457.166.734;p1F;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beR;be;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;43929;0;10;2.024.926;-2.571.563;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;43939;6;81;2.024.926;-2.571.563;1;1;0;0;0.098346652390719;0;0.666159473685613;138.225.306.303.817;0.227934207941277;130.509.363.548.972;p1P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beR;be;Cor1;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1beR;Cor1beR;Cor2beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;44020;0;12;2.299.051;-177.819.412;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44032;7;40;2.299.051;-177.819.412;1;1;2;2;0.098346652390719;0.136176080296506;0.312837211426208;138.225.306.303.817;213.617.608.029.651;325.921.457.166.734;p1F;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beR;be;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;44072;0;5;0.265113;-2.972.608;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44077;8;25;0.265113;-2.972.608;1;1;2;2;0.098346652390719;0.136176080296506;0.312837211426208;138.225.306.303.817;213.617.608.029.651;325.921.457.166.734;p1F;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;44102;0;15;9.122.878;-27.244.048;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44117;9;33;9.122.878;-27.244.048;1;2;1;3;0.543690036371746;0.125071582727923;0.404150551823805;254.369.003.637.175;11.215.649.121.561;333.262.747.426.392;p3F;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;bpF;bp;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;44150;0;6;0.953457;-32.785.941;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44156;10;44;0.953457;-32.785.941;1;2;1;3;0.543690036371746;0.125071582727923;0.404150551823805;254.369.003.637.175;11.215.649.121.561;333.262.747.426.392;p3F;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;44200;0;10;2.434.098;-1.993.945;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44210;11;44;2.434.098;-1.993.945;1;2;0;2;0.543690036371746;0;0.543690036371746;254.369.003.637.175;0.227934207941277;238.581.212.215.651;p3O;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beF;be;Cor1;Cor1;Cor2;Cor1;Cor1;Cor1;Cor1beF;Cor1beF;Cor2beF;Cor1beF;Cor1beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;44254;0;9;2.537.831;-174.348.634;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
bad_ET;44552;0;30;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;44616;0;9;170.808;-163.493.946;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44625;12;108;170.808;-163.493.946;1;2;1;1;0.662912179017304;0.136760509715727;0.136760509715727;26.629.121.790.173;112.740.937.565;139.516.077.733.365;p2O;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;bpF;bp;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;44733;0;10;2.551.022;2.037.502;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44743;13;78;2.551.022;2.037.502;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beF;be;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;44821;0;5;0.380213;-125.843.414;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44826;14;116;0.380213;-125.843.414;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;44942;0;5;0.273311;124.975.703;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;44947;15;57;0.273311;124.975.703;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45004;0;4;0.308635;-11.292.848;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45008;16;83;0.308635;-11.292.848;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45091;0;5;0.41627;179.782.281;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45096;17;50;0.41627;179.782.281;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45146;0;6;0.636125;-33.873.453;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45152;18;58;0.636125;-33.873.453;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45210;0;6;0.557355;-10.608.113;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45216;19;73;0.557355;-10.608.113;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45289;0;4;0.252743;-56.489.812;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45293;20;57;0.252743;-56.489.812;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45350;0;7;0.78186;86.120.808;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45357;21;46;0.78186;86.120.808;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45403;0;6;0.566943;165.481.224;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45409;22;58;0.566943;165.481.224;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45467;0;5;0.391868;-12.165.713;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45472;23;103;0.391868;-12.165.713;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45575;0;4;0.256395;-150.463.029;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45579;24;95;0.256395;-150.463.029;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45674;0;8;0.902664;176.641.974;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45682;25;30;0.902664;176.641.974;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45712;0;10;1.626.921;178.463.115;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45722;26;51;1.626.921;178.463.115;1;2;1;1;0.662912179017304;0.136760509715727;0.136760509715727;26.629.121.790.173;112.740.937.565;139.516.077.733.365;p2O;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beR;be;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;45773;0;10;2.165.906;0.123363;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45783;27;63;2.165.906;0.123363;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;beR;be;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;45846;0;5;0.356077;0.880836;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45851;28;74;0.356077;0.880836;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45925;0;7;0.433883;-135.800.607;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;45932;29;38;0.433883;-135.800.607;1;2;2;2;0.662912179017304;0.130331616802604;0.130331616802604;26.629.121.790.173;21.303.316.168.026;239.662.189.790.995;p2P;50;44;50;143.502.625.505.525;315.367.437.491.498;762.680.476.873.975;66.621.513.835.732;482.676.298.053.463;684.445.718.205.392;1;1;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;45970;0;9;2.035.859;177.958.253;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
EventOnset;50.255.375;0;0;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];Cor2;Cor1;Cor2;Cor2;Cor1;Cor2;Cor2;Cor1;Cor2
bad_ET;50259;0;25;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;50287;0;12;5.640.901;95.166.481;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;50299;1;52;5.640.901;95.166.481;2;2;1;1;0.665695573114132;0.00116889646104013;0.335519779893603;266.569.557.311.413;115.195.614.489.795;240.882.585.900.604;p1P;66;23;72;229.198.752.874.006;357.506.050.509.289;193.010.434.808.728;889.198.752.874.006;311.647.205.988.433;95.542.297.943.122;1;2;bpF;bp;Cor2;Cor1;Cor1;Cor2;Cor1;Cor2;Cor2bpF;Cor1bpF;Cor1bpF;Cor2bpF;Cor1bpF;Cor2bpF;[];[];[];[];[];[];[];[];[]
saccade;50351;0;25;1.714.391;-169.239.397;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;50376;2;37;1.714.391;-169.239.397;2;2;1;2;0.665695573114132;0.551717681140966;0.610794172233566;266.569.557.311.413;13.921.637.374.632;252.892.965.528.867;p1F;66;23;72;229.198.752.874.006;357.506.050.509.289;193.010.434.808.728;889.198.752.874.006;311.647.205.988.433;95.542.297.943.122;1;2;beF;be;Cor2;Cor2;Cor2;Cor2;Cor1;Cor2;Cor2beF;Cor2beF;Cor2beF;Cor2beF;Cor1beF;Cor2beF;[];[];[];[];[];[];[];[];[]
saccade;50413;0;8;0.640782;128.752.047;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
