type;latency;rank;duration;sac_amplitude;sac_angle;iEvent;CorScorePair;CorScoreEvent;CorScoreDetail;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;SumCorConfPair;SumCorConfEvent;SumCorConfDetail;PairNCat;eCorScorePair;eCorScoreEvent;eCorScoreDetail;eNrmzMeanConfPair;eNrmzMeanConfEvent;eNrmzMeanConfDetail;eSumCorConfPair;eSumCorConfEvent;eSumCorConfDetail;iBlock;iEventPerBlock;Refi;Refi2;NrmzMeanConfPair2bins;NrmzMeanConfEvent2bins;NrmzMeanConfDetail2bins;eNrmzMeanConfPair2bins;eNrmzMeanConfEvent2bins;eNrmzMeanConfDetail2bins;NrmzMeanConfPair_CorRefi;NrmzMeanConfEvent_CorRefi;NrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_CorRefi;eNrmzMeanConfEvent_CorRefi;eNrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_EventOnset2bins;eNrmzMeanConfEvent_EventOnset2bins;eNrmzMeanConfDetail_EventOnset2bins;eCorScorePair_EventOnset2bins;eCorScoreEvent_EventOnset2bins;eCorScoreDetail_EventOnset2bins;eSumCorConfPair_EventOnset2bins;eSumCorConfEvent_EventOnset2bins;eSumCorConfDetail_EventOnset2bins
fixation;481606;3;171;165.297;-2.399.536;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;beR;be;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;481777;0;5;0.41722;138.639.047;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;481782;4;32;0.41722;138.639.047;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;481814;0;5;0.380015;-38.669.142;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;481819;5;69;0.380015;-38.669.142;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;481888;0;4;0.160343;-73.247.187;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;481892;6;77;0.160343;-73.247.187;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;481969;0;4;0.187478;-136.732.877;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;481973;7;27;0.187478;-136.732.877;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;482000;0;7;0.762774;149.976.966;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
