# BEGINHEADER
# This file contains data from the SALSA 2m radio telescope.
# DATE=2023-11-13T16:29:0050
# GLON and GLAT given in degrees
# GLON=69.71272053752604
# GLAT=0.0823468521269702
# DATA in two columns below. Col. 1 is velocity relative to LSR [km/s]. Col. 2 is uncalibrated antenna temperature [K].
# ENDHEADER
LSR Temp
264.03856207208656 -1.2974244903244851
261.9774181214879 -1.7984846638410756
259.91627417088927 -2.5526212001708504
257.8551302202906 -3.8412582754709055
255.79398626969197 -3.511682340663393
253.73284231909332 -3.073632215123313
251.6716983684947 -3.765857942629012
249.61055441789605 -4.288823313006657
247.54941046729743 -1.8427260093571805
245.48826651669876 -1.4298586222817111
243.42712256610014 -1.5081432815203375
241.3659786155015 -0.8417936419482809
239.30483466490287 -2.864922751336822
237.2436907143042 -2.959132082244289
235.18254676370557 -1.5553919125627824
233.12140281310693 -3.48564570625648
231.06025886250828 0.13960070674821007
228.99911491190966 -1.0852851608567555
226.93797096131098 -2.0052011686730897
224.87682701071236 -1.2917647335882763
222.8156830601137 -4.193398790511674
220.7545391095151 -3.978212560581042
218.69339515891645 -3.296302494779288
216.6322512083178 -3.326236751521047
214.57110725771915 -2.2535426937428085
212.50996330712053 -3.9195467217206663
210.44881935652188 -2.9199926908758154
208.38767540592323 -1.4382359808436989
206.32653145532458 -1.820351124915618
204.26538750472596 -2.2164380396369947
202.20424355412732 -2.6038436758175076
200.1430996035287 -2.690236246451093
198.08195565293002 -2.2777276101453334
196.02081170233134 -1.0454820425470321
193.95966775173272 -2.714330456075655
191.89852380113408 -3.404171319029538
189.83737985053546 -2.939333312043396
187.7762358999368 -2.613109690564386
185.71509194933816 -1.1042793303663216
183.6539479987395 -1.802634266348485
181.5928040481409 -4.069934906171299
179.53166009754224 -3.460933976770913
177.47051614694362 -1.8990839467453755
175.40937219634495 -2.6722951425077497
173.34822824574633 -2.4742953405530677
171.28708429514768 -3.0394417324396863
169.22594034454906 -1.8079921383968798
167.16479639395038 -2.2216732744322036
165.10365244335176 -3.2419455449162182
163.04250849275311 -2.849120868003389
160.9813645421545 -3.5853511510003275
158.92022059155585 -3.73462789933188
156.85907664095717 -3.670096988984117
154.79793269035855 -1.776505418862347
152.7367887397599 -3.153679802063581
150.67564478916128 -3.8414076871381693
148.61450083856263 -3.0863549550707394
146.553356887964 -4.787293836743017
144.49221293736534 -3.090795046620234
142.43106898676672 -3.456018789586195
140.36992503616807 -4.437905751869757
138.30878108556942 -4.578458324350509
136.24763713497077 -4.004700813440813
134.18649318437215 -3.5665590970899905
132.1253492337735 -3.976344430133378
130.06420528317486 -4.459521771213733
128.00306133257624 -3.4669908274435803
125.94191738197758 -5.535673660798748
123.88077343137894 -4.78508152852222
121.8196294807803 -2.5349062243371376
119.75848553018166 -4.395582294085949
117.69734157958302 -4.090669949310351
115.63619762898438 -3.781542866805509
113.57505367838574 -4.438693046249962
111.5139097277871 -3.7300252025536222
109.45276577718846 -3.0119629757045563
107.39162182658983 -3.00619442394161
105.33047787599118 -5.806630331562303
103.26933392539254 -4.0565449748244475
101.2081899747939 -3.772866100140002
99.14704602419526 -5.582392481240488
97.08590207359661 -4.734428796262317
95.02475812299798 -5.087274989817477
92.96361417239933 -4.344410902145221
90.9024702218007 -4.58935587917713
88.84132627120205 -4.657917056955587
86.78018232060342 -5.126956427959451
84.71903837000478 -3.815092557442598
82.65789441940613 -4.860071495784214
80.5967504688075 -5.6838315219411575
78.53560651820885 -6.136051422499998
76.47446256761022 -5.125802682931799
74.41331861701158 -3.9535539024976387
72.35217466641294 -4.752485335547141
70.2910307158143 -4.568073721439456
68.22988676521565 -4.123756511070743
66.16874281461702 -3.5729160421152795
64.10759886401837 -3.871101393094169
62.04645491341973 -2.8591333673102826
59.98531096282109 -4.118177308622516
57.92416701222245 -4.270254161937088
55.86302306162381 -4.207023603558188
53.80187911102517 -4.708495217592828
51.74073516042653 -2.981525314330708
49.67959120982789 -5.3725105546833305
47.61844725922924 -3.994043325660262
45.5573033086306 -4.10040643682794
43.49615935803196 -3.113752084390044
41.43501540743332 -3.217670588054821
39.373871456834685 -3.265993772233373
37.312727506236044 -1.4526249924776728
35.2515835556374 -1.7954926010161598
33.19043960503876 -1.2834739092703862
31.129295654440117 0.6619170883314915
29.06815170384148 2.745845245534811
27.00700775324284 6.381054441275849
24.945863802644194 12.574263338730027
22.884719852045556 19.63777281068716
20.823575901446915 31.48536038041282
18.762431950848274 42.941021161828104
16.701288000249633 56.89434266418048
14.640144049650992 72.64971069496441
12.579000099052351 90.03258340626184
10.51785614845371 108.6974238702714
8.456712197855067 121.71074370538471
6.395568247256428 130.3734411867892
4.334424296657787 132.87538497296148
2.2732803460591464 127.12300968021279
0.21213639546050575 110.7108101084285
-1.849007555138135 106.13460040817739
-3.910151505736776 93.58424502983569
-5.971295456335417 80.3457750254478
-8.032439406934056 66.4095931520854
-10.093583357532697 56.11435372983917
-12.15472730813134 49.92446699378897
-14.215871258729978 45.119845991128535
-16.27701520932862 41.295386735933555
-18.33815915992726 37.26938328930573
-20.3993031105259 35.93060096204857
-22.46044706112454 34.72328533520537
-24.521591011723185 32.723191794717344
-26.582734962321823 32.13888845021648
-28.643878912920464 27.333196939838768
-30.705022863519105 24.982127191662816
-32.766166814117746 19.38249831462396
-34.82731076471639 17.037879932239363
-36.88845471531503 15.516074016697159
-38.94959866591367 15.034271881725152
-41.01074261651231 12.678407406957751
-43.071886567110944 12.11843860266375
-45.133030517709585 12.294573952863702
-47.194174468308226 11.766228408779282
-49.255318418906874 15.290453400618413
